nox_value,facility_id,wind_speed,wind_direction,day,month,year,average_temp_K_,average_solarrad_Wm2_,average_RH_perc_,average_cloud_fraction_,average_no2_kgm2_,average_no2flux_kgm2s_
1677.492858,4,11752.67787,260.9384139,2,5,2023,19869,28015,55.073856,0.1907108469,3.90E-06,-2.44E-10
2605.741234,5,28952.98287,262.3605022,2,5,2023,17366,29530,63.54223,0.1982005809,2.36E-06,3.32E-10
1326.38759,1,11289.54459,261.975404,3,5,2023,29197,14417,63.49023,0.1122267783,5.67E-06,-1.76E-10
3906.666221,2,7310.271472,269.5062182,3,5,2023,27852,12993,64.825356,0.09231774457,4.90E-06,6.75E-10
1305.387837,1,5235.011079,267.492857,4,5,2023,27241,30265,58.555054,0.08677856413,4.78E-06,3.40E-10
3738.035441,2,8530.940042,254.4079413,4,5,2023,25228,29538,59.992653,0.08085731127,3.46E-06,1.11E-09
3162.608902,4,35923.58959,215.3650632,4,5,2023,6542,25972,66.187775,0.08742431095,3.90E-06,2.52E-10
4443.993689,5,33285.91931,213.6203658,4,5,2023,10598,30652,66.09607,0.1189188611,4.28E-06,4.07E-10
15241.69248,6,34077.28557,210.3605197,4,5,2023,9194,30757,71.95704,0.07640331902,8.06E-06,1.65E-10
7811.825522,7,9401.140888,204.2886028,4,5,2023,26976,30842,59.488945,0.09699367635,3.94E-06,-1.12E-10
1174.737017,1,21542.72501,246.1228453,5,5,2023,16321,13621,67.09278,0.06141892048,2.64E-06,7.92E-10
3548.020051,2,23358.05351,249.8613936,5,5,2023,12971,11795,69.82647,0.03456272259,1.29E-06,1.06E-09
3987.924108,5,16210.99704,219.4154867,5,5,2023,22788,23893,51.846004,0.07877441214,4.33E-06,-1.50E-10
11862.97107,6,15879.07164,198.368769,5,5,2023,19218,29301,62.3758,0.04276342008,4.16E-06,2.10E-10
7670.773492,7,18691.88744,227.1332901,5,5,2023,20306,19246,64.58882,0.08100498718,1.21E-06,2.80E-10
1046.533549,1,18638.97186,229.220659,6,5,2023,21224,29503,62.116116,0.1686611069,3.82E-06,8.51E-10
3122.618451,2,18404.74743,228.4890034,6,5,2023,18187,29324,65.50322,0.06031824472,1.46E-06,1.45E-09
3817.978688,3,15151.2022,204.8533196,6,5,2023,14884,-4666,57.38504,0.07811088827,3.30E-06,3.27E-10
7012.376405,7,16414.91483,232.915787,6,5,2023,22714,29302,62.315784,0.107646888,2.01E-06,1.01E-10
4021.202968,5,11376.81326,220.1653818,8,5,2023,6207,144,78.509964,0.148360887,3.33E-06,1.24E-09
1323.307835,0,22036.46771,207.777916,10,5,2023,-660,31450,60.889862,0.06167738663,2.40E-06,2.73E-10
3306.682433,3,21950.12294,247.0924016,10,5,2023,9881,28994,56.461727,0.08773602754,2.99E-06,2.96E-10
2107.187243,4,23833.24453,258.275643,10,5,2023,9295,25100,58.289165,0.2098494172,3.24E-06,-5.50E-11
6166.900492,7,37663.3473,225.0451791,10,5,2023,28746,-3781,62.561363,0.0759167976,1.92E-06,1.26E-10
16624.46104,6,12511.77957,243.9633264,11,5,2023,18416,-20890,70.160675,0.04940000624,6.49E-06,1.54E-09
4168.380505,5,33093.78215,232.9400036,16,5,2023,17658,26121,64.19033,0.1810806396,4.35E-06,7.73E-11
14447.86748,6,32235.21832,232.0991385,16,5,2023,18285,26031,65.43975,0.04184219938,5.00E-06,2.31E-09
823.6774265,1,9152.356035,255.354896,17,5,2023,29115,29193,65.16431,0.09305785938,2.64E-06,1.21E-10
2738.862093,2,5225.073397,227.8856376,17,5,2023,27536,28915,66.37891,0.04845399283,2.34E-06,1.11E-09
2189.111661,4,30230.22741,210.9718826,17,5,2023,7585,14537,65.70004,0.142704749,3.16E-06,6.36E-10
2798.385894,5,32240.8412,228.3180539,17,5,2023,10969,20767,70.49916,0.1469891997,4.03E-06,1.75E-10
4456.142658,6,31924.88166,230.6016177,17,5,2023,11816,22634,70.38769,0.05072803164,5.29E-06,3.41E-09
5125.277685,7,23802.34663,259.2419383,17,5,2023,27350,29960,65.61447,0.069244646,1.87E-06,2.82E-10
3185.395623,3,14776.0133,267.595169,18,5,2023,22523,12031,57.76718,0.08971504251,4.27E-06,5.47E-10
2680.813578,4,24474.78819,230.1102031,18,5,2023,15731,14959,63.33508,0.1920468751,3.48E-06,-1.76E-09
790.4092561,1,19296.19716,221.3968169,20,5,2023,29228,17703,77.13437,0.2041148569,4.28E-06,2.14E-10
2790.595995,2,20499.8498,216.4903425,20,5,2023,27986,17904,77.80142,0.1787371405,3.24E-06,1.41E-10
648.1893763,1,14204.13292,189.6294344,21,5,2023,27055,21220,71.864334,0.06016535482,2.18E-06,2.20E-10
2094.45381,2,14915.20741,182.0133255,21,5,2023,25403,21087,73.526184,0.05484521592,2.91E-06,1.76E-10
4650.399498,7,10929.03994,211.2334833,21,5,2023,28790,21749,71.123116,0.06520180796,1.72E-06,1.27E-10
6407.865605,7,24049.37604,218.0354592,22,5,2023,20921,15963,75.643265,0.111006677,2.51E-06,3.28E-10
2605.883513,4,34210.51775,235.6665782,26,5,2023,11816,19493,78.34793,0.1181015965,2.82E-06,1.96E-10
0.7002200942,0,30085.42056,212.7852307,27,5,2023,5568,13378,75.16568,0.05352672167,1.22E-06,4.32E-10
4170.410095,3,8812.39729,249.3275264,27,5,2023,25650,16825,62.731213,0.0585600011,2.86E-06,2.35E-10
2640.173307,4,9260.882139,223.1447731,27,5,2023,21736,19392,70.50055,0.1005544462,2.78E-06,-2.79E-10
1101.528699,1,27249.58167,256.297274,28,5,2023,20655,20124,67.31335,0.1357562616,3.59E-06,9.24E-10
2682.505364,2,28103.74797,254.5410399,28,5,2023,18483,21142,68.55772,0.09268392615,3.89E-06,1.39E-09
4407.334574,3,22309.37554,223.7740941,28,5,2023,21816,29176,59.960037,0.02769636412,2.70E-06,-1.24E-10
2470.977946,4,5656.92496,193.8692009,28,5,2023,15560,29266,60.080433,0.1211169105,2.61E-06,9.91E-11
7078.953742,7,28078.10017,263.8213809,28,5,2023,19094,17585,69.25094,0.1280113204,2.62E-06,5.79E-10
4873.146607,8,19531.71608,183.1609546,28,5,2023,-15240,20002,79.24158,0.04123624309,1.21E-06,6.49E-11
1735.040087,0,35103.75276,203.125723,29,5,2023,-11927,20394,86.20568,0.1421169411,9.45E-07,9.91E-10
752.3810394,1,37031.78485,219.7005784,29,5,2023,9840,28621,71.10382,0.1307110838,5.10E-06,1.17E-09
1609.3308,2,37841.53518,221.2104239,29,5,2023,6917,28945,72.95835,0.1079852461,5.61E-06,3.80E-09
2093.169033,3,33551.68958,226.9420591,29,5,2023,12435,28402,65.62024,0.08914833835,2.73E-06,1.31E-09
1881.753096,4,28161.25567,248.1872563,29,5,2023,12377,31056,65.62222,0.1753031895,2.84E-06,1.02E-09
2542.908787,5,17582.58212,220.4744053,29,5,2023,14520,17483,68.49248,0.1647379408,4.38E-06,-1.11E-09
506.7600306,6,25329.76536,222.9602432,29,5,2023,2892,13464,79.01977,0.1143611368,6.53E-06,-5.37E-10
2426.743398,8,19569.68842,205.3931067,29,5,2023,-16104,26644,79.87375,0.02523931622,1.47E-06,4.06E-10
6980.378159,6,16474.47046,248.4323784,1,2,2023,7174,9222,57.982315,0.07787554376,1.50E-05,2.25E-09
2432.17287,8,22788.21823,188.5831055,1,2,2023,5373,25110,74.25538,0.03778826557,3.13E-06,-4.31E-10
5902.865263,6,28149.35537,217.9006903,2,2,2023,7135,26697,74.00487,0.1546477178,3.79E-06,3.06E-09
3783.659994,7,21420.62438,267.8114855,2,2,2023,28172,27296,53.668762,0.1110338536,8.47E-06,-3.71E-10
1585.406822,1,21171.43257,232.0117973,3,2,2023,29712,26518,60.369904,0.07728691564,5.44E-06,1.58E-09
2305.766912,2,21796.04152,224.765792,3,2,2023,29687,26850,60.73606,0.06009119209,1.02E-05,1.62E-09
3887.459699,7,20969.22869,262.4201626,3,2,2023,26642,27102,63.49639,0.08557860727,5.10E-06,3.13E-10
1311.563239,1,15222.77718,264.7534348,4,2,2023,31358,15471,63.895885,0.08576416674,6.02E-06,5.27E-10
2132.942915,7,27898.67069,267.6396196,7,2,2023,26671,27690,65.90509,0.12065758,7.38E-06,6.14E-10
2378.670972,7,23683.42247,268.3837362,8,2,2023,28099,26299,68.47485,0.09641503308,3.45E-06,5.57E-10
348.539872,1,28571.53132,237.2916429,24,1,2023,16834,19604,58.4291,0.08148115272,2.81E-06,8.25E-10
2096.624019,2,26259.4244,233.2082149,24,1,2023,17669,17199,60.124493,0.07815169549,4.43E-06,2.22E-09
3514.315444,7,32019.99828,250.2634842,24,1,2023,13446,25394,59.568768,0.07704360213,2.79E-06,3.06E-11
1837.324923,4,27002.96104,247.5472705,25,1,2023,4574,8562,61.565113,0.1344060431,2.21E-06,-6.24E-10
5438.290128,5,22328.77292,239.0424044,25,1,2023,11372,18368,55.53232,0.09743212309,2.51E-06,4.10E-10
5138.217747,6,19280.17936,225.2647699,25,1,2023,12655,19972,60.519062,0.03997616897,3.27E-06,2.69E-09
4262.785016,7,28039.84629,228.4611492,26,1,2023,18840,21275,51.846104,0.07737473452,4.56E-06,4.68E-11
2216.32586,8,26336.4072,194.8055727,26,1,2023,-1057,3915,76.81954,0.04093116966,1.83E-06,5.18E-10
1190.417451,1,29238.34074,266.6373367,27,1,2023,24814,24441,52.060936,0.1102324069,4.05E-06,1.08E-09
2002.559321,2,30003.02201,265.7624061,27,1,2023,24933,24398,52.55198,0.1016557236,5.27E-06,2.16E-09
5336.304187,6,18071.48253,216.2427586,27,1,2023,-2236,25956,66.92461,0.09949402305,2.60E-06,2.35E-09
4298.286611,7,23919.23431,265.3646656,27,1,2023,20707,25174,56.29352,0.11280627,2.96E-06,-3.02E-10
1238.056702,1,13036.14399,229.0435462,28,1,2023,18123,5530,49.00662,0.277781368,5.72E-06,7.10E-10
1838.191577,2,9151.958916,220.3378239,28,1,2023,18631,3368,49.87418,0.2877654437,6.83E-06,1.04E-09
4210.058988,7,24036.14905,229.1991026,28,1,2023,15995,17455,50.824238,0.1810681572,4.79E-06,5.74E-10
1718.335632,4,26108.38879,201.5878712,29,1,2023,2208,20734,56.866055,0.1054499661,2.88E-06,2.71E-10
3810.810637,5,32914.0583,210.8640443,29,1,2023,7384,26588,53.94274,0.07096123342,3.33E-06,6.44E-10
6204.968331,6,32583.45181,213.41988,29,1,2023,8269,31039,57.967957,0.05662609692,3.62E-06,8.40E-10
3241.373955,0,27398.84979,184.8930204,30,1,2023,-3625,20713,57.861744,0.04666665175,2.28E-06,6.50E-10
